time,U,C
47.245,0.7955624248120463,0.6762280610902394
47.246,0.7955628685473779,0.6762284382652712
47.247,0.7955633122383383,0.6762288154025875
47.248,0.7955637558849318,0.676229192502192
47.249,0.7955641994871628,0.6762295695640884
47.25,0.7955646430450358,0.6762299465882804
47.251,0.7955650865585553,0.676230323574772
47.252,0.7955655300277256,0.6762307005235667
47.253,0.7955659734525512,0.6762310774346685
47.254,0.7955664168330365,0.6762314543080811
47.255,0.7955668601691861,0.6762318311438081
47.256,0.7955673034610041,0.6762322079418535
47.257,0.7955677467084953,0.6762325847022209
47.258,0.795568189911664,0.6762329614249144
47.259,0.7955686330705145,0.6762333381099374
47.26,0.7955690761850513,0.6762337147572937
47.261,0.795569519255279,0.6762340913669871
47.262,0.7955699622812018,0.6762344679390215
47.263,0.7955704052628242,0.6762348444734005
47.264,0.7955708482001507,0.676235220970128
47.265,0.7955712910931856,0.6762355974292077
47.266,0.7955717339419335,0.6762359738506435
47.267,0.7955721767463987,0.6762363502344388
47.268,0.7955726195065858,0.6762367265805979
47.269,0.7955730622224989,0.6762371028891241
47.27,0.7955735048941427,0.6762374791600213
47.271,0.7955739475215216,0.6762378553932933
47.272,0.7955743901046398,0.6762382315889438
47.273,0.795574832643502,0.6762386077469767
47.274,0.7955752751381127,0.6762389838673958
47.275,0.7955757175884759,0.6762393599502045
47.276,0.7955761599945964,0.6762397359954069
47.277,0.7955766023564785,0.6762401120030067
47.278,0.7955770446741266,0.6762404879730076
47.279,0.7955774869475452,0.6762408639054134
47.28,0.7955779291767385,0.6762412398002278
47.281,0.7955783713617113,0.6762416156574546
47.282000000000004,0.7955788135024677,0.6762419914770975
47.283,0.7955792555990122,0.6762423672591603
47.284,0.7955796976513494,0.676242743003647
47.285000000000004,0.7955801396594835,0.676243118710561
47.286,0.7955805816234189,0.676243494379906
47.287,0.7955810235431602,0.6762438700116862
47.288000000000004,0.7955814654187118,0.676244245605905
47.289,0.7955819072500779,0.6762446211625662
47.29,0.7955823490372632,0.6762449966816737
47.291000000000004,0.7955827907802719,0.6762453721632311
47.292,0.7955832324791087,0.6762457476072423
47.293,0.7955836741337776,0.676246123013711
47.294000000000004,0.7955841157442833,0.6762464983826408
47.295,0.7955845573106303,0.6762468737140357
47.296,0.7955849988328227,0.6762472490078993
47.297000000000004,0.7955854403108652,0.6762476242642353
47.298,0.795585881744762,0.6762479994830477
47.299,0.7955863231345177,0.6762483746643401
47.300000000000004,0.7955867644801365,0.676248749808116
47.301,0.7955872057816231,0.6762491249143796
47.302,0.7955876470389818,0.6762494999831344
47.303000000000004,0.7955880882522168,0.6762498750143843
47.304,0.7955885294213327,0.6762502500081328
47.305,0.795588970546334,0.6762506249643839
47.306000000000004,0.795589411627225,0.6762509998831412
47.307,0.79558985266401,0.6762513747644086
47.308,0.7955902936566936,0.6762517496081896
47.309,0.7955907346052802,0.6762521244144881
47.31,0.795591175509774,0.6762524991833079
47.311,0.7955916163701797,0.6762528739146527
47.312,0.7955920571865015,0.6762532486085262
